Bundesland,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
Baden-Württemberg,9,10,9,2,11,9,7,8,2,7,9,6,11,11,11,6,8,9,14,16,14,11,15,12,10,6,15,11,9,13,10,12,13,18,7,7,9,15,13,8,5,8,12,4,8,8,12,11,4,14,10,14,8,4,14,7,6,3,5,4,6,5,5,7,5,4,6,3,NaN,NaN,NaN,NaN
Bayern,16,17,21,7,21,12,12,13,19,18,19,10,19,20,23,21,18,23,16,16,14,23,17,20,24,23,22,24,19,24,32,22,15,14,12,24,16,17,15,15,21,16,13,8,10,16,11,15,11,14,11,14,7,7,9,12,8,9,9,6,5,13,7,15,10,13,5,11,NaN,NaN,NaN,NaN
Berlin,11,16,12,5,10,8,6,10,6,15,6,4,9,11,1,9,10,14,9,7,9,9,11,10,12,10,11,14,6,14,7,12,14,19,7,10,10,10,14,11,10,13,11,8,6,7,7,5,13,9,6,12,8,13,14,8,9,5,13,13,6,5,7,10,10,5,11,6,NaN,NaN,NaN,NaN
Brandenburg,2,1,3,1,1,2,1,NaN,3,3,5,2,1,5,5,2,2,1,4,2,4,2,NaN,1,2,NaN,1,2,2,2,1,2,NaN,2,1,3,1,3,2,2,5,3,1,NaN,3,3,1,NaN,1,1,2,2,1,1,3,1,1,NaN,2,NaN,1,1,3,NaN,1,2,NaN,2,NaN,NaN,NaN,NaN
Bremen,2,1,2,2,3,NaN,1,NaN,NaN,NaN,NaN,2,NaN,1,NaN,2,NaN,1,1,NaN,1,NaN,NaN,NaN,1,4,NaN,2,2,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,1,NaN,2,NaN,2,1,1,3,3,NaN,NaN,1,NaN,NaN,1,NaN,NaN,2,NaN,NaN,1,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hamburg,6,1,3,3,2,6,7,6,2,3,2,4,3,6,NaN,3,6,5,3,5,3,5,6,6,5,5,1,6,7,2,3,6,2,2,5,2,5,6,5,2,5,4,5,3,10,2,5,2,2,8,6,2,3,7,4,2,1,NaN,5,1,2,2,6,4,2,2,2,1,NaN,NaN,NaN,NaN
Hessen,6,9,8,4,10,9,3,6,6,7,4,9,6,8,10,4,3,7,8,4,10,3,7,7,7,4,11,10,7,3,8,10,6,8,5,11,7,8,5,3,9,7,3,8,6,5,8,6,4,3,8,5,6,3,4,2,5,1,4,3,3,3,6,3,3,2,1,6,NaN,NaN,NaN,NaN
Mecklenburg-Vorpommern,1,2,3,1,2,2,2,2,3,1,1,1,1,2,NaN,4,NaN,1,4,3,2,4,2,1,NaN,2,1,1,2,NaN,3,5,4,2,6,3,2,1,2,NaN,4,3,NaN,1,NaN,2,1,NaN,NaN,1,6,1,1,3,2,NaN,1,1,2,2,1,1,1,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN
Niedersachsen,10,20,10,13,8,10,8,12,8,10,12,10,4,13,11,7,11,16,11,18,12,5,9,11,8,8,13,6,16,9,7,11,4,9,5,8,12,13,13,10,11,10,7,4,2,10,NaN,8,8,4,3,4,6,5,2,5,5,7,2,2,6,11,8,7,5,3,7,7,NaN,NaN,NaN,NaN
Nordrhein-Westfalen,45,43,47,43,50,49,49,41,45,51,57,42,49,43,49,43,55,48,60,46,55,55,54,33,58,42,54,49,43,36,54,39,36,37,33,32,59,36,30,30,30,37,38,22,29,21,33,19,36,18,37,25,25,35,24,17,33,23,24,25,16,22,23,18,28,25,26,20,NaN,NaN,NaN,NaN
Rheinland-Pfalz,4,3,4,5,10,5,8,6,7,2,5,1,3,4,6,7,6,4,3,7,7,2,2,5,8,6,6,7,4,10,4,5,6,4,2,2,3,4,6,6,2,7,4,3,4,2,4,6,3,6,6,3,NaN,1,2,1,1,NaN,4,2,NaN,NaN,3,NaN,2,4,2,NaN,NaN,NaN,NaN,NaN
Saarland,1,1,1,2,1,1,3,5,1,1,3,5,3,1,NaN,1,1,1,NaN,5,1,4,2,3,2,2,NaN,2,2,4,3,1,NaN,2,5,1,2,1,2,NaN,3,NaN,NaN,2,1,1,2,NaN,1,2,2,2,1,3,1,NaN,NaN,NaN,NaN,1,NaN,1,2,1,NaN,NaN,1,2,NaN,NaN,NaN,NaN
Sachsen,9,7,14,6,10,8,6,6,3,10,5,9,4,6,8,5,10,13,4,7,8,5,2,2,6,4,6,2,11,7,9,4,4,7,4,6,4,7,4,6,6,3,2,NaN,2,2,1,1,2,1,9,1,4,4,1,1,1,5,7,2,3,4,5,6,1,4,5,2,NaN,NaN,NaN,NaN
Sachsen-Anhalt,6,1,1,2,1,2,4,6,9,1,4,4,10,9,6,5,1,1,4,3,4,2,5,4,1,7,2,4,2,4,5,2,3,1,3,3,3,1,1,4,3,4,1,3,2,3,1,3,3,2,3,3,NaN,1,2,2,2,1,2,2,NaN,3,1,3,NaN,2,2,1,NaN,NaN,NaN,NaN
Schleswig-Holstein,NaN,12,5,1,6,9,3,6,3,5,4,2,11,4,5,8,3,4,4,6,5,7,6,3,1,7,7,4,7,7,1,4,6,2,11,8,1,4,7,4,7,5,4,3,2,2,4,4,3,3,2,1,3,NaN,2,1,2,1,2,1,NaN,1,2,2,3,1,1,1,NaN,NaN,NaN,NaN
Thüringen,1,3,2,1,1,3,1,5,3,3,2,2,2,NaN,2,2,2,3,3,1,2,1,4,NaN,2,4,1,3,1,NaN,1,2,NaN,1,1,NaN,2,1,1,NaN,NaN,2,1,NaN,NaN,1,1,NaN,1,1,NaN,2,1,3,2,1,1,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN